ClusterIdx,Timestamp,Folder_Name
23,1025.1528,mp_jul
12,1025.4525,mp_jul
14,1025.7522,mp_jul
22,1026.052,mp_jul
10,1026.3517,mp_jul
24,1026.6516,mp_jul
15,1026.9513,mp_jul
21,1027.251,mp_jul
22,1027.5508,mp_jul
22,1027.8505,mp_jul
22,1028.1503,mp_jul
22,1028.4501,mp_jul
22,1028.7499,mp_jul
10,1029.0496,mp_jul
23,1029.3493,mp_jul
22,1029.6492,mp_jul
22,1029.949,mp_jul
10,1030.2487,mp_jul
10,1030.5485,mp_jul
10,1030.8483,mp_jul
23,1031.1481,mp_jul
15,1031.4478,mp_jul
14,1031.7476,mp_jul
22,1032.0473,mp_jul
14,1032.3471,mp_jul
14,1032.6468,mp_jul
14,1032.9467,mp_jul
14,1033.2464,mp_jul
14,1033.5462,mp_jul
14,1033.8459,mp_jul
22,1034.1457,mp_jul
14,1034.4455,mp_jul
12,1034.7452,mp_jul
14,1035.045,mp_jul
14,1035.3448,mp_jul
14,1035.6446,mp_jul
22,1035.9443,mp_jul
10,1036.2441,mp_jul
10,1036.5438,mp_jul
23,1036.8436,mp_jul
11,1037.1434,mp_jul
11,1037.4432,mp_jul
22,1037.7429,mp_jul
11,1038.0427,mp_jul
22,1038.3425,mp_jul
23,1038.6423,mp_jul
21,1038.942,mp_jul
6,1039.2418,mp_jul
17,1039.5415,mp_jul
23,1039.8413,mp_jul
22,1040.1411,mp_jul
14,1040.4409,mp_jul
22,1040.7406,mp_jul
1,1041.0404,mp_jul
14,1041.3402,mp_jul
14,1041.6444,mp_jul
23,1041.9397,mp_jul
12,1042.2395,mp_jul
23,1042.5393,mp_jul
14,1042.839,mp_jul
14,1043.1388,mp_jul
23,1043.4386,mp_jul
14,1043.7383,mp_jul
14,1044.0381,mp_jul
23,1044.3379,mp_jul
23,1044.6377,mp_jul
15,1044.9418,mp_jul
15,1045.2372,mp_jul
12,1045.537,mp_jul
17,1045.8367,mp_jul
17,1046.1365,mp_jul
17,1046.4363,mp_jul
17,1046.7361,mp_jul
13,1047.0358,mp_jul
23,1047.3356,mp_jul
23,1047.6354,mp_jul
14,1047.9352,mp_jul
15,1048.2348,mp_jul
16,1048.5347,mp_jul
23,1048.8344,mp_jul
14,1049.1343,mp_jul
23,1049.434,mp_jul
14,1049.7338,mp_jul
23,1050.0336,mp_jul
23,1050.3333,mp_jul
23,1050.6331,mp_jul
12,1050.9329,mp_jul
23,1051.2327,mp_jul
16,1051.5324,mp_jul
23,1051.8323,mp_jul
14,1052.132,mp_jul
14,1052.4318,mp_jul
23,1052.7316,mp_jul
23,1053.0313,mp_jul
23,1053.3311,mp_jul
22,1053.6309,mp_jul
25,1053.9307,mp_jul
25,1054.2305,mp_jul
23,1054.5302,mp_jul
23,1054.83,mp_jul
23,1055.1297,mp_jul
14,1055.4295,mp_jul
14,1055.7293,mp_jul
14,1056.0291,mp_jul
23,1056.3289,mp_jul
22,1056.6286,mp_jul
22,1056.9284,mp_jul
22,1057.2282,mp_jul
14,1057.528,mp_jul
23,1057.8277,mp_jul
11,1058.1275,mp_jul
25,1058.4273,mp_jul
17,1058.727,mp_jul
11,1059.0312,mp_jul
10,1059.3266,mp_jul
18,1059.6264,mp_jul
13,1059.9262,mp_jul
23,1060.2259,mp_jul
14,1060.5257,mp_jul
23,1060.8254,mp_jul
22,1061.1253,mp_jul
23,1061.425,mp_jul
10,1061.7248,mp_jul
22,1062.0246,mp_jul
14,1062.3266,mp_jul
22,1062.6242,mp_jul
22,1062.9239,mp_jul
22,1063.2237,mp_jul
14,1063.5235,mp_jul
14,1063.8232,mp_jul
23,1064.123,mp_jul
10,1064.4228,mp_jul
23,1064.7225,mp_jul
14,1065.0223,mp_jul
14,1065.3221,mp_jul
23,1065.6219,mp_jul
23,1065.9216,mp_jul
14,1066.2215,mp_jul
22,1066.5212,mp_jul
14,1066.821,mp_jul
14,1067.1207,mp_jul
25,1067.4205,mp_jul
25,1067.7203,mp_jul
25,1068.0201,mp_jul
11,1068.3199,mp_jul
23,1068.6196,mp_jul
23,1068.9194,mp_jul
15,1069.2192,mp_jul
14,1069.5189,mp_jul
23,1069.8188,mp_jul
15,1070.1185,mp_jul
23,1070.4183,mp_jul
15,1070.718,mp_jul
15,1071.0178,mp_jul
14,1071.3176,mp_jul
23,1071.6173,mp_jul
23,1071.9172,mp_jul
22,1072.2169,mp_jul
22,1072.5167,mp_jul
14,1072.8165,mp_jul
14,1073.1162,mp_jul
14,1073.416,mp_jul
23,1073.7158,mp_jul
14,1074.0156,mp_jul
14,1074.3154,mp_jul
23,1074.6195,mp_jul
3,1074.9149,mp_jul
18,1075.2147,mp_jul
24,1075.5145,mp_jul
24,1075.8143,mp_jul
24,1076.1141,mp_jul
24,1076.4138,mp_jul
15,1076.7136,mp_jul
3,1077.0134,mp_jul
3,1077.3132,mp_jul
21,1077.6129,mp_jul
14,1077.9127,mp_jul
12,1078.2125,mp_jul
15,1078.5122,mp_jul
23,1078.812,mp_jul
14,1079.1117,mp_jul
23,1079.4116,mp_jul
22,1079.7114,mp_jul
14,1080.0111,mp_jul
14,1080.3109,mp_jul
14,1080.6107,mp_jul
23,1080.9104,mp_jul
14,1081.2102,mp_jul
22,1081.51,mp_jul
22,1081.8097,mp_jul
23,1082.1095,mp_jul
16,1082.4094,mp_jul
16,1082.7091,mp_jul
14,1083.0088,mp_jul
22,1083.3086,mp_jul
14,1083.6084,mp_jul
16,1083.9082,mp_jul
23,1084.2079,mp_jul
14,1084.5077,mp_jul
17,1084.8075,mp_jul
6,1085.1073,mp_jul
25,1085.4071,mp_jul
25,1085.7068,mp_jul
23,1086.0066,mp_jul
14,1086.3064,mp_jul
23,1086.6062,mp_jul
10,1086.9059,mp_jul
11,1087.2058,mp_jul
22,1087.5055,mp_jul
23,1087.8052,mp_jul
14,1088.1051,mp_jul
17,1088.4048,mp_jul
6,1088.7047,mp_jul
17,1089.0044,mp_jul
17,1089.3042,mp_jul
17,1089.604,mp_jul
12,1089.9038,mp_jul
17,1090.2035,mp_jul
14,1090.5033,mp_jul
23,1090.803,mp_jul
23,1091.1028,mp_jul
23,1091.4026,mp_jul
15,1091.7024,mp_jul
15,1092.0021,mp_jul
12,1092.302,mp_jul
16,1092.6017,mp_jul
14,1092.9015,mp_jul
15,1093.2013,mp_jul
23,1093.501,mp_jul
23,1093.8009,mp_jul
22,1094.1006,mp_jul
23,1094.4004,mp_jul
10,1094.7002,mp_jul
23,1095.0,mp_jul
10,1095.2997,mp_jul
14,1095.5995,mp_jul
14,1095.8993,mp_jul
23,1096.1991,mp_jul
14,1096.4988,mp_jul
23,1096.7987,mp_jul
12,1097.0984,mp_jul
14,1097.3981,mp_jul
14,1097.698,mp_jul
16,1097.9977,mp_jul
23,1098.2975,mp_jul
23,1098.5972,mp_jul
23,1098.8971,mp_jul
14,1099.1969,mp_jul
22,1099.4967,mp_jul
22,1099.7964,mp_jul
23,1100.0962,mp_jul
22,1100.3959,mp_jul
22,1100.6957,mp_jul
22,1100.9955,mp_jul
22,1101.2953,mp_jul
10,1101.5951,mp_jul
23,1101.8948,mp_jul
14,1102.1946,mp_jul
22,1102.4944,mp_jul
21,1102.7942,mp_jul
22,1103.094,mp_jul
22,1103.3938,mp_jul
10,1103.6935,mp_jul
22,1103.9932,mp_jul
22,1104.2931,mp_jul
14,1104.5928,mp_jul
22,1104.8926,mp_jul
22,1105.1924,mp_jul
22,1105.4922,mp_jul
22,1105.7919,mp_jul
22,1106.0918,mp_jul
11,1106.3915,mp_jul
22,1106.6913,mp_jul
22,1106.991,mp_jul
14,1107.2908,mp_jul
22,1107.5906,mp_jul
22,1107.8904,mp_jul
22,1108.1902,mp_jul
22,1108.4899,mp_jul
14,1108.7897,mp_jul
14,1109.0896,mp_jul
22,1109.3893,mp_jul
23,1109.6891,mp_jul
14,1109.9888,mp_jul
10,1110.2886,mp_jul
11,1110.5884,mp_jul
22,1110.8882,mp_jul
22,1111.1879,mp_jul
22,1111.4878,mp_jul
22,1111.7875,mp_jul
22,1112.0873,mp_jul
22,1112.3871,mp_jul
11,1112.6869,mp_jul
10,1112.9866,mp_jul
10,1113.2864,mp_jul
11,1113.5862,mp_jul
25,1113.886,mp_jul
25,1114.1858,mp_jul
25,1114.4855,mp_jul
10,1114.7853,mp_jul
22,1115.0851,mp_jul
22,1115.3849,mp_jul
25,1115.6846,mp_jul
25,1115.9845,mp_jul
6,1116.2843,mp_jul
6,1116.584,mp_jul
25,1116.8837,mp_jul
11,1117.1836,mp_jul
10,1117.4833,mp_jul
22,1117.7831,mp_jul
22,1118.0828,mp_jul
22,1118.3827,mp_jul
22,1118.6824,mp_jul
13,1118.9822,mp_jul
17,1119.282,mp_jul
6,1119.5818,mp_jul
25,1119.8816,mp_jul
23,1120.1813,mp_jul
15,1120.4811,mp_jul
11,1120.7809,mp_jul
22,1121.0806,mp_jul
25,1121.3804,mp_jul
25,1121.6802,mp_jul
25,1121.98,mp_jul
25,1122.2798,mp_jul
25,1122.5796,mp_jul
13,1122.8793,mp_jul
17,1123.179,mp_jul
14,1123.4788,mp_jul
22,1123.7787,mp_jul
11,1124.0784,mp_jul
25,1124.3782,mp_jul
25,1124.678,mp_jul
22,1124.9778,mp_jul
22,1125.2775,mp_jul
22,1125.5773,mp_jul
22,1125.8771,mp_jul
22,1126.1769,mp_jul
22,1126.4767,mp_jul
22,1126.7764,mp_jul
22,1127.0763,mp_jul
22,1127.376,mp_jul
11,1127.6758,mp_jul
18,1127.9755,mp_jul
18,1128.2754,mp_jul
18,1128.5751,mp_jul
18,1128.8749,mp_jul
18,1129.1747,mp_jul
18,1129.4745,mp_jul
21,1129.7742,mp_jul
18,1130.074,mp_jul
22,1130.3738,mp_jul
22,1130.6736,mp_jul
22,1130.9733,mp_jul
25,1131.2732,mp_jul
25,1131.5729,mp_jul
23,1131.8727,mp_jul
12,1132.1724,mp_jul
24,1132.4723,mp_jul
24,1132.7721,mp_jul
16,1133.0718,mp_jul
15,1133.3716,mp_jul
23,1133.6714,mp_jul
6,1133.9712,mp_jul
17,1134.2709,mp_jul
17,1134.5708,mp_jul
17,1134.8705,mp_jul
17,1135.1703,mp_jul
17,1135.47,mp_jul
17,1135.7699,mp_jul
17,1136.0696,mp_jul
17,1136.3694,mp_jul
17,1136.6692,mp_jul
14,1136.969,mp_jul
25,1137.2688,mp_jul
25,1137.5685,mp_jul
25,1137.8683,mp_jul
25,1138.1681,mp_jul
